Time,Replica1,Replica2,Replica3
0.0,288.684528,287.780932,292.422655
100.0,383.406505,323.375236,371.009812
200.0,298.509789,425.122053,356.423357
300.0,368.524252,447.145686,431.529757
400.0,372.682214,456.346376,366.991123
500.0,354.84182,432.566757,437.263069
600.0,413.758503,412.243442,391.757751
700.0,413.744055,419.502854,407.015006
800.0,366.394681,402.358053,424.613108
900.0,438.339982,484.233858,456.493738
1000.0,373.076363,415.873736,431.822106
1100.0,443.186024,382.104523,400.116565
1200.0,485.123488,372.752219,375.539342
1300.0,504.858651,438.507721,377.66394
1400.0,496.675032,359.384072,392.456468
1500.0,462.491859,308.725786,446.92778
1600.0,433.576132,401.44091,467.503853
1700.0,490.880742,342.774837,407.022721
1800.0,477.658117,348.314744,395.504517
1900.0,369.292555,419.251487,406.931192
2000.0,469.698932,380.421683,410.882949
2100.0,425.746385,430.267231,462.098504
2200.0,479.922911,407.369189,456.710638
2300.0,474.633266,457.705037,500.721785
2400.0,474.930347,445.124326,493.212813
2500.0,430.664338,457.972689,467.798332
2600.0,396.05471,413.339909,512.170987
2700.0,392.139364,378.018393,463.349089
2800.0,394.259737,403.51246,478.887268
2900.0,421.949764,414.897169,442.142389
3000.0,419.367384,400.199272,405.035779
3100.0,418.796658,434.568524,491.080093
3200.0,440.264759,393.982932,415.025196
3300.0,468.888843,442.661275,401.334476
3400.0,522.40494,436.521976,395.678426
3500.0,502.70509,428.042188,392.722692
3600.0,493.314857,455.000959,446.88827
3700.0,454.99293,422.995648,383.548338
3800.0,534.895836,405.850666,412.944637
3900.0,473.088722,411.717029,353.010561
4000.0,489.107597,428.039138,416.124031
4100.0,475.971818,465.077469,364.067782
4200.0,477.053428,480.374684,400.190395
4300.0,456.867497,419.044617,395.55097
4400.0,467.403436,448.903221,393.483114
4500.0,452.030295,400.336241,402.860323
4600.0,464.424591,451.155805,393.36936
4700.0,501.629272,429.023034,391.781606
4800.0,456.88146,459.152188,350.320499
4900.0,472.770761,390.727621,468.940262
5000.0,451.884335,459.447028,386.581
5100.0,472.007989,416.126038,348.778448
5200.0,488.725644,428.055439,340.844693
5300.0,503.671323,470.614763,414.524522
5400.0,442.440298,440.738029,377.345227
5500.0,560.308974,429.397008,357.058741
5600.0,519.763549,462.762972,369.218014
5700.0,523.275241,439.784838,433.933389
5800.0,511.734329,489.350591,379.382304
5900.0,487.429972,414.446144,420.983419
6000.0,511.770759,436.057348,363.834432
6100.0,543.278219,438.02505,413.113656
6200.0,513.969486,461.163521,397.321171
6300.0,563.610021,479.339738,406.678751
6400.0,493.186424,458.114607,349.785441
6500.0,486.579563,471.849725,415.979249
6600.0,575.990533,470.147526,457.922886
6700.0,602.005569,486.109346,464.155512
6800.0,577.382904,395.723049,396.824572
6900.0,517.566431,425.958707,392.840545
7000.0,572.251409,479.233982,378.440165
7100.0,541.365989,456.214582,425.518719
7200.0,606.598006,414.614457,349.482006
7300.0,580.340616,454.022635,358.239678
7400.0,559.734106,426.94219,393.692064
7500.0,573.944411,376.906731,398.379694
7600.0,565.579677,390.846464,366.619756
7700.0,532.012915,380.558904,456.255645
7800.0,545.244904,314.265458,467.6015
